repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
4,46,1,chronic,2,9,0.722,0.367,0.4,0.333,0.5
4,46,1,stage3,8,3,0.417,0.77,0.667,0.714,0.625
4,46,2,immune,3,6,0.556,0.587,0.4,0.5,0.333
4,46,2,chronic,2,9,0.722,0.367,0.0,0.0,0.0
4,46,2,stage3,8,3,0.75,0.916,0.714,0.833,0.625
4,46,3,immune,3,6,0.778,0.589,0.571,0.5,0.667
4,46,3,chronic,2,9,0.556,0.361,0.5,0.5,0.5
4,46,3,stage3,6,4,0.542,0.691,0.714,0.625,0.833
4,46,4,immune,2,6,0.917,0.833,0.5,0.5,0.5
4,46,4,chronic,2,8,0.562,0.31,0.0,0.0,0.0
4,46,4,stage3,5,4,0.3,0.505,0.615,0.5,0.8
5,47,0,immune,3,6,0.667,0.643,0.4,0.5,0.333
5,47,0,chronic,2,9,0.5,0.243,0.0,0.0,0.0
5,47,0,stage3,5,6,0.2,0.363,0.533,0.4,0.8
5,47,1,immune,3,6,0.556,0.411,0.0,0.0,0.0
5,47,1,chronic,2,9,0.667,0.393,0.25,0.167,0.5
5,47,1,stage3,6,3,0.667,0.863,0.727,0.8,0.667
5,47,2,immune,3,6,0.611,0.61,0.4,0.5,0.333
5,47,2,chronic,2,9,0.778,0.45,0.5,0.5,0.5
5,47,2,stage3,8,3,0.542,0.841,0.778,0.7,0.875
5,47,3,immune,3,6,0.611,0.476,0.5,0.4,0.667
5,47,3,chronic,2,9,0.778,0.417,0.0,0.0,0.0
5,47,3,stage3,7,3,0.81,0.937,0.8,0.75,0.857
5,47,4,immune,2,6,0.667,0.45,0.0,0.0,0.0
5,47,4,chronic,2,8,0.438,0.278,0.4,0.333,0.5
5,47,4,stage3,8,1,1.0,1.0,0.941,0.889,1.0
6,48,0,immune,3,6,0.389,0.356,0.333,0.333,0.333
6,48,0,chronic,2,9,0.556,0.267,0.0,0.0,0.0
6,48,0,stage3,7,3,0.571,0.808,0.8,0.75,0.857
6,48,1,immune,3,6,0.833,0.833,0.667,0.667,0.667
6,48,1,chronic,2,9,0.833,0.5,0.4,0.333,0.5
6,48,1,stage3,7,4,0.607,0.765,0.75,0.667,0.857
6,48,2,immune,3,6,0.778,0.589,0.667,0.667,0.667
6,48,2,chronic,2,9,0.722,0.643,0.5,0.5,0.5
6,48,2,stage3,7,3,0.714,0.86,0.8,0.75,0.857
6,48,3,immune,3,6,0.722,0.667,0.5,1.0,0.333
6,48,3,chronic,2,9,0.611,0.375,0.4,0.333,0.5
6,48,3,stage3,7,3,0.667,0.869,0.75,0.667,0.857
6,48,4,immune,2,6,0.75,0.5,0.4,0.333,0.5
6,48,4,chronic,2,8,0.688,0.417,0.0,0.0,0.0
6,48,4,stage3,6,3,0.833,0.944,0.909,1.0,0.833
7,49,0,immune,3,6,0.833,0.833,0.571,0.5,0.667
7,49,0,chronic,2,9,0.722,0.367,0.0,0.0,0.0
7,49,0,stage3,7,3,0.857,0.957,0.857,0.857,0.857
7,49,1,immune,3,6,0.611,0.625,0.333,0.333,0.333
7,49,1,chronic,2,9,0.444,0.236,0.333,0.25,0.5
7,49,1,stage3,6,4,0.375,0.57,0.545,0.6,0.5
7,49,2,immune,3,6,0.722,0.792,0.8,1.0,0.667
7,49,2,chronic,2,9,0.889,0.75,0.5,0.5,0.5
7,49,2,stage3,6,4,0.542,0.718,0.615,0.571,0.667
7,49,3,immune,3,6,0.5,0.444,0.571,0.5,0.667
7,49,3,chronic,2,9,0.611,0.375,0.286,0.2,0.5
